name,strategy,reason
base,syllable-recombination,dictionary-common
zero,pronounceability-weighted,dictionary-common
ever,short-premium,dictionary-common
river,pronounceability-weighted,dictionary-common
data,syllable-recombination,dictionary-common
nova,pronounceability-weighted,dictionary-common
beta,syllable-recombination,dictionary-common
above,short-premium,dictionary-common
solar,pronounceability-weighted,dictionary-common
core,consonant-vowel-model,dictionary-common
code,consonant-vowel-model,dictionary-common
native,syllable-recombination,dictionary-common
maria,multilingual-neutral,personal-name
nora,syllable-recombination,personal-name
alan,short-premium,personal-name
lina,pronounceability-weighted,personal-name
mila,syllable-recombination,personal-name
sara,syllable-recombination,personal-name
alex,short-premium,personal-name
julia,consonant-vowel-model,personal-name
omar,short-premium,personal-name
elena,short-premium,personal-name
amina,short-premium,personal-name
james,pronounceability-weighted,personal-name
fatima,syllable-recombination,personal-name
rome,pronounceability-weighted,geographic
milan,pronounceability-weighted,geographic
paris,pronounceability-weighted,geographic
krefail,consonant-vowel-model,offensive-negative
krassae,phonetic-construction,offensive-negative
nazi,pronounceability-weighted,offensive-negative
failveo,phonetic-construction,offensive-negative
naziv,consonant-vowel-model,offensive-negative
toassae,phonetic-construction,offensive-negative
koassia,phonetic-construction,offensive-negative
nazin,pronounceability-weighted,offensive-negative
roassia,phonetic-construction,offensive-negative
zoasseo,phonetic-construction,offensive-negative
voasseo,phonetic-construction,offensive-negative
gepain,consonant-vowel-model,offensive-negative
proassa,phonetic-construction,offensive-negative
broassia,phonetic-construction,offensive-negative
boarse,phonetic-construction,offensive-negative
evil,short-premium,offensive-negative
kroarseo,phonetic-construction,offensive-negative
sassoa,phonetic-construction,offensive-negative
failsia,phonetic-construction,offensive-negative
tassio,phonetic-construction,offensive-negative
kafail,consonant-vowel-model,offensive-negative
foarseo,phonetic-construction,offensive-negative
nazir,pronounceability-weighted,offensive-negative
bombri,phonetic-construction,offensive-negative
kriasso,phonetic-construction,offensive-negative
painhia,phonetic-construction,offensive-negative
droasso,phonetic-construction,offensive-negative
hate,syllable-recombination,offensive-negative
hatega,syllable-recombination,offensive-negative
levili,syllable-recombination,offensive-negative
liasso,phonetic-construction,offensive-negative
pisseo,phonetic-construction,offensive-negative
fassa,phonetic-construction,offensive-negative
failpeo,phonetic-construction,offensive-negative
paindrai,phonetic-construction,offensive-negative
bahate,syllable-recombination,offensive-negative
failko,phonetic-construction,offensive-negative
paintia,phonetic-construction,offensive-negative
painior,consonant-vowel-model,offensive-negative
giassu,phonetic-construction,offensive-negative
fiassia,phonetic-construction,offensive-negative
evila,short-premium,offensive-negative
cassu,phonetic-construction,offensive-negative
failpia,phonetic-construction,offensive-negative
vassai,phonetic-construction,offensive-negative
nazis,pronounceability-weighted,offensive-negative
painia,consonant-vowel-model,offensive-negative
noassa,phonetic-construction,offensive-negative
dassa,phonetic-construction,offensive-negative
boassae,phonetic-construction,offensive-negative
faile,consonant-vowel-model,offensive-negative
evile,short-premium,offensive-negative
hatele,syllable-recombination,offensive-negative
evilo,short-premium,offensive-negative
niassoa,phonetic-construction,offensive-negative
painvo,phonetic-construction,offensive-negative
bunazi,syllable-recombination,offensive-negative
hiasseo,phonetic-construction,offensive-negative
tasseo,phonetic-construction,offensive-negative
painbe,phonetic-construction,offensive-negative
failcae,phonetic-construction,offensive-negative
painfae,phonetic-construction,offensive-negative
hateol,consonant-vowel-model,offensive-negative
