rank,name,total_score,pronounceability,memorability,visual_strength,global_neutrality,technology_fit,premium_perception,expansion_potential,distinctiveness,syllables,strategy,closest_brand,similarity_percent
1,NIZOZE,94.83,17.94,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,AMAZON,22.5
2,VAZIZI,94.83,17.94,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,AMAZON,22.5
3,ZIDIVI,94.83,17.94,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,ADOBE,22.5
4,VIZAVI,94.7,17.94,15,9.65,10,8.7,9.2,10,14.21,3,syllable-recombination,COREWEAVE,23.19
5,VOZESI,94.7,17.94,15,9.65,10,8.7,9.2,10,14.21,3,syllable-recombination,ATLASSIAN,23.19
6,VOZIVI,94.7,17.94,15,9.65,10,8.7,9.2,10,14.21,3,syllable-recombination,COREWEAVE,23.19
7,RIMIZI,94.69,17.94,15,9.65,10,8.7,9.2,10,14.2,3,syllable-recombination,DEEPMIND,23.25
8,BIVEZI,94.53,17.94,15,9.65,10,8.4,9.2,10,14.34,3,syllable-recombination,BAIDU,22.5
9,VAFAZA,94.53,17.49,15,9.65,10,8.7,9.2,10,14.49,3,syllable-recombination,AMAZON,21.67
10,VOFIZI,94.53,17.49,15,9.65,10,8.7,9.2,10,14.49,3,syllable-recombination,NOTION,21.67
11,VOFIZO,94.53,17.49,15,9.65,10,8.7,9.2,10,14.49,3,syllable-recombination,NOTION,21.67
12,ROZAZI,94.48,17.94,15,9.65,10,8.7,9.2,10,13.99,3,syllable-recombination,DROPBOX,24.4
13,RIVOGA,94.43,17.94,15,9.65,10,8.7,9.2,10,13.94,3,syllable-recombination,SERVICENOW,24.67
14,RIZIKE,94.43,17.94,15,9.65,10,8.7,9.2,10,13.94,3,syllable-recombination,SERVICENOW,24.67
15,ZIVEKI,94.43,17.94,15,9.65,10,8.7,9.2,10,13.94,3,syllable-recombination,SERVICENOW,24.67
16,RIZIHA,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,REDDIT,22.5
17,VAVEHA,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,COHERE,22.5
18,VAVEJA,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,NVIDIA,22.5
19,VAVOFI,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,NVIDIA,22.5
20,VAVOJA,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,NVIDIA,22.5
21,ZIFIVI,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,CANVA,22.5
22,ZIVEJA,94.38,17.49,15,9.65,10,8.7,9.2,10,14.34,3,syllable-recombination,NVIDIA,22.5
23,RIZEPA,94.3,17.94,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,SERVICENOW,25.33
24,VAZIRI,94.3,17.94,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,DATABRICKS,25.33
25,VIZEZE,94.3,17.94,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,SERVICENOW,25.33
26,VIZOZO,94.3,17.94,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,SERVICENOW,25.33
27,ZAVECA,94.3,17.94,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,SALESFORCE,25.33
28,ZEVEPA,94.3,17.94,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,SERVICENOW,25.33
29,VIZIRO,94.26,17.94,15,9.65,10,8.7,9.2,10,13.77,3,syllable-recombination,DISCORD,25.57
30,VOZEDI,94.26,17.94,15,9.65,10,8.7,9.2,10,13.77,3,syllable-recombination,MONGODB,25.57
31,ZIRAZI,94.26,17.94,15,9.65,10,8.7,9.2,10,13.77,3,syllable-recombination,MISTRAL,25.57
32,RIHAZI,94.25,17.49,15,9.65,10,8.7,9.2,10,14.21,3,syllable-recombination,COREWEAVE,23.19
33,RAVORA,94.19,17.94,15,9.65,10,8.7,10,10,12.9,3,invented-morphemes,CEREBRAS,30.25
34,ZIFAVI,94.18,17.49,15,9.65,10,8.7,9.2,10,14.14,3,syllable-recombination,HUGGINGFACE,23.56
35,JAVOZA,94.08,17.49,15,9.65,10,8.4,9.2,10,14.34,3,syllable-recombination,NVIDIA,22.5
36,ROJAZA,94.03,17.49,15,9.65,10,8.7,9.2,10,13.99,3,syllable-recombination,DROPBOX,24.4
37,ROZIHA,94.03,17.49,15,9.65,10,8.7,9.2,10,13.99,3,syllable-recombination,DROPBOX,24.4
38,VOBUZI,94.03,17.94,15,9.65,10,8.7,9.2,10,13.54,3,syllable-recombination,LOVABLE,26.79
39,GAVESA,94,17.94,15,9.65,10,8.4,9.2,10,13.81,3,syllable-recombination,SALESFORCE,25.33
40,GAZIRI,94,17.94,15,9.65,10,8.4,9.2,10,13.81,3,syllable-recombination,DATABRICKS,25.33
41,DIZIVI,93.96,17.94,15,9.65,10,8.4,9.2,10,13.77,3,syllable-recombination,DISCORD,25.57
42,MOBUKI,93.96,17.94,15,9.65,10,8.4,9.2,10,13.77,3,syllable-recombination,MONGODB,25.57
43,MOBUZO,93.96,17.94,15,9.65,10,8.4,9.2,10,13.77,3,syllable-recombination,MONGODB,25.57
44,HAVOTO,93.94,17.49,15,9.65,10,8.4,9.2,10,14.2,3,syllable-recombination,PALANTIR,23.25
45,JAZIRO,93.94,17.49,15,9.65,10,8.4,9.2,10,14.2,3,syllable-recombination,PALANTIR,23.25
46,KEVOSE,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
47,KOVOTO,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
48,RAVAZA,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
49,RAVAZI,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
50,RIVOZE,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
51,VAZEZE,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
52,VIZADE,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,DATADOG,27.32
53,VOSIZE,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
54,VOVEGA,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
55,VOVOZI,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
56,VOZADA,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,DATADOG,27.32
57,VOZAZI,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
58,VOZITI,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,SPOTIFY,27.32
59,ZAVAZI,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
60,ZEVAZA,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
61,ZIVAZI,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
